Year,Month,Approve,Disapprove,No_Oppinion,Source,Politicican,Unemployment_rate,Consumer_Index_Sentiment,Real_Broad_Dollar_Index
2021,1,34,62,4,Gallup,Donald Trump,6.4,79,103.2453
2020,12,38.61386139,56.43564356,4.95049505,Gallup,Donald Trump,6.7,80.7,103.9616
2020,11,43,55,2,Gallup,Donald Trump,6.7,76.9,105.9086
2020,10,46.46464646,52.52525253,1.01010101,Gallup,Donald Trump,6.9,81.8,107.2666
2020,9,43,55,2,Gallup,Donald Trump,7.8,80.4,107.8021
2020,9,46,52,2,Gallup,Donald Trump,7.8,80.4,107.8021
2020,8,42,56,2,Gallup,Donald Trump,8.4,74.1,108.1734
2020,7,41.58415842,54.45544554,3.96039604,Gallup,Donald Trump,10.2,72.5,109.4752
2020,7,41,56,3,Gallup,Donald Trump,10.2,72.5,109.4752
2020,6,38.38383838,57.57575758,4.04040404,Gallup,Donald Trump,11,78.1,110.1062
2020,5,39,57,4,Gallup,Donald Trump,13.2,72.3,112.7087
2020,5,49,48,3,Gallup,Donald Trump,13.2,72.3,112.7087
2020,4,49,47,4,Gallup,Donald Trump,14.8,71.8,113.3817
2020,4,42.57425743,53.46534653,3.96039604,Gallup,Donald Trump,14.8,71.8,113.3817
2020,3,49,45,6,Gallup,Donald Trump,4.4,89.1,111.773
2020,3,44,52,4,Gallup,Donald Trump,4.4,89.1,111.773
2020,2,47,51,2,Gallup,Donald Trump,3.5,101,107.8593
2020,2,49,48,3,Gallup,Donald Trump,3.5,101,107.8593
2020,1,49,50,1,Gallup,Donald Trump,3.6,99.8,106.6669
2020,1,44,53,3,Gallup,Donald Trump,3.6,99.8,106.6669
2019,12,45.45454545,51.51515152,3.03030303,Gallup,Donald Trump,3.6,99.3,107.1978
2019,11,43,54,3,Gallup,Donald Trump,3.6,96.8,107.8499
2019,10,41,57,2,Gallup,Donald Trump,3.6,95.5,108.0245
2019,10,38.61386139,56.43564356,4.95049505,Gallup,Donald Trump,3.6,95.5,108.0245
2019,9,40.4040404,56.56565657,3.03030303,Gallup,Donald Trump,3.5,93.2,108.5513
2019,9,42.57425743,53.46534653,3.96039604,Gallup,Donald Trump,3.5,93.2,108.5513
2019,8,39,57,4,Gallup,Donald Trump,3.6,89.8,108.3732
2019,8,41,54,5,Gallup,Donald Trump,3.6,89.8,108.3732
2019,7,42,54,4,Gallup,Donald Trump,3.7,98.4,106.5646
2019,7,44,51,5,Gallup,Donald Trump,3.7,98.4,106.5646
2019,6,41,54,5,Gallup,Donald Trump,3.6,98.2,106.808
2019,6,42.57425743,54.45544554,2.97029703,Gallup,Donald Trump,3.6,98.2,106.808
2019,5,40.4040404,55.55555556,4.04040404,Gallup,Donald Trump,3.6,100,107.4306
2019,5,42,52,6,Gallup,Donald Trump,3.6,100,107.4306
2019,4,46,50,4,Gallup,Donald Trump,3.7,97.2,106.6671
2019,4,45,51,4,Gallup,Donald Trump,3.7,97.2,106.6671
2019,3,39,57,4,Gallup,Donald Trump,3.8,98.4,106.5523
2019,2,43,54,3,Gallup,Donald Trump,3.8,93.8,106.1335
2019,2,44,52,4,Gallup,Donald Trump,3.8,93.8,106.1335
2019,1,37.37373737,59.5959596,3.03030303,Gallup,Donald Trump,4,91.2,106.0294
2019,1,37,59,4,Gallup,Donald Trump,4,91.2,106.0294
2018,12,39.39393939,55.55555556,5.050505051,Gallup,Donald Trump,3.9,98.3,107.7541
2018,12,38.38383838,57.57575758,4.04040404,Gallup,Donald Trump,3.9,98.3,107.7541
2018,12,40,56,4,Gallup,Donald Trump,3.9,98.3,107.7541
2018,11,40,56,4,Gallup,Donald Trump,3.8,97.5,107.7067
2018,11,37.62376238,59.40594059,2.97029703,Gallup,Donald Trump,3.8,97.5,107.7067
2018,11,43,53,4,Gallup,Donald Trump,3.8,97.5,107.7067
2018,11,38.38383838,56.56565657,5.050505051,Gallup,Donald Trump,3.8,97.5,107.7067
2018,10,40,54,6,Gallup,Donald Trump,3.8,98.6,106.548
2018,10,40,54,6,Gallup,Donald Trump,3.8,98.6,106.548
2018,10,44,50,6,Gallup,Donald Trump,3.8,98.6,106.548
2018,10,44,51,5,Gallup,Donald Trump,3.8,98.6,106.548
2018,10,42.57425743,52.47524752,4.95049505,Gallup,Donald Trump,3.8,98.6,106.548
2018,9,42,53,5,Gallup,Donald Trump,3.7,100.1,105.82
2018,9,39.6039604,55.44554455,4.95049505,Gallup,Donald Trump,3.7,100.1,105.82
2018,9,38,56,6,Gallup,Donald Trump,3.7,100.1,105.82
2018,9,40.4040404,54.54545455,5.050505051,Gallup,Donald Trump,3.7,100.1,105.82
2018,8,41,53,6,Gallup,Donald Trump,3.8,96.2,105.614
2018,8,41,54,5,Gallup,Donald Trump,3.8,96.2,105.614
2018,8,41.58415842,51.48514851,6.930693069,Gallup,Donald Trump,3.8,96.2,105.614
2018,8,39,56,5,Gallup,Donald Trump,3.8,96.2,105.614
2018,7,41,54,5,Gallup,Donald Trump,3.8,97.9,105.0351
2018,7,39.6039604,54.45544554,5.940594059,Gallup,Donald Trump,3.8,97.9,105.0351
2018,7,42,54,4,Gallup,Donald Trump,3.8,97.9,105.0351
2018,7,43.43434343,52.52525253,4.04040404,Gallup,Donald Trump,3.8,97.9,105.0351
2018,7,40.59405941,55.44554455,3.96039604,Gallup,Donald Trump,3.8,97.9,105.0351
2018,6,42,53,5,Gallup,Donald Trump,4,98.2,105.0496
2018,6,41.41414141,55.55555556,3.03030303,Gallup,Donald Trump,4,98.2,105.0496
2018,6,45.45454545,50.50505051,4.04040404,Gallup,Donald Trump,4,98.2,105.0496
2018,6,42,54,4,Gallup,Donald Trump,4,98.2,105.0496
2018,5,41,55,4,Gallup,Donald Trump,3.8,98,103.5024
2018,5,39.6039604,54.45544554,5.940594059,Gallup,Donald Trump,3.8,98,103.5024
2018,5,41.58415842,53.46534653,4.95049505,Gallup,Donald Trump,3.8,98,103.5024
2018,5,43,52,5,Gallup,Donald Trump,3.8,98,103.5024
2018,4,42.42424242,52.52525253,5.050505051,Gallup,Donald Trump,4,98.8,100.5243
2018,4,42,53,5,Gallup,Donald Trump,4,98.8,100.5243
2018,4,37.62376238,56.43564356,5.940594059,Gallup,Donald Trump,4,98.8,100.5243
2018,4,39,55,6,Gallup,Donald Trump,4,98.8,100.5243
2018,4,41,54,5,Gallup,Donald Trump,4,98.8,100.5243
2018,3,39,56,5,Gallup,Donald Trump,4,101.4,100.3979
